"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 11:57:13 ICT 2023","Wed Aug 09 11:57:14 ICT 2023","1802","ShowSlinger","Sign up/Login","NopCommerce.Class_003_Forgot_Password","NopCommerce.Class_003_Forgot_Password","ForgotPassword_002_EmptyData","ForgotPassword_002_EmptyData","Forgot Password- Empty Data"
"passed","Wed Aug 09 11:57:47 ICT 2023","Wed Aug 09 11:57:49 ICT 2023","1683","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_005_AccRegisteredEmptyPassword","Login_005_AccRegisteredEmptyPassword","Log In Account - Empty Password"
"passed","Wed Aug 09 11:57:51 ICT 2023","Wed Aug 09 11:57:59 ICT 2023","7997","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_007_AccManagerCompleted","Login_007_AccManagerCompleted","Log In Account - Login Account Manager Success"
"passed","Wed Aug 09 11:57:14 ICT 2023","Wed Aug 09 11:57:16 ICT 2023","1885","ShowSlinger","Sign up/Login","NopCommerce.Class_003_Forgot_Password","NopCommerce.Class_003_Forgot_Password","ForgotPassword_003_InvalidEmail","ForgotPassword_003_InvalidEmail","Forgot Password - Invalid Email"
"passed","Wed Aug 09 11:57:45 ICT 2023","Wed Aug 09 11:57:47 ICT 2023","1902","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_004_AccNotFound","Login_004_AccNotFound","Log In Account - Account Not Found"
"passed","Wed Aug 09 11:57:18 ICT 2023","Wed Aug 09 11:57:20 ICT 2023","1540","ShowSlinger","Sign up/Login","NopCommerce.Class_003_Forgot_Password","NopCommerce.Class_003_Forgot_Password","ForgotPassword_005_ExistingEmail","ForgotPassword_005_ExistingEmail","Forgot Password - Existing Email - Success"
"passed","Wed Aug 09 11:58:21 ICT 2023","Wed Aug 09 11:58:33 ICT 2023","12731","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_010_AccConcessionsCompleted","Login_010_AccConcessionsCompleted","Log In Account - Login Account Concession Success"
"passed","Wed Aug 09 11:58:13 ICT 2023","Wed Aug 09 11:58:21 ICT 2023","7383","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_009_AccStaffAutoCompleted","Login_009_AccStaffAutoCompleted","Log In Account - Login Account Staff Auto Success"
"passed","Wed Aug 09 11:57:59 ICT 2023","Wed Aug 09 11:58:13 ICT 2023","14218","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_008_AccStaffManualCompleted","Login_008_AccStaffManualCompleted","Log In Account - Login Account Staff Manual Success"
"passed","Wed Aug 09 11:57:16 ICT 2023","Wed Aug 09 11:57:18 ICT 2023","1768","ShowSlinger","Sign up/Login","NopCommerce.Class_003_Forgot_Password","NopCommerce.Class_003_Forgot_Password","ForgotPassword_004_NotExistingEmail","ForgotPassword_004_NotExistingEmail","Forgot Password - Not Existing Email"
"passed","Wed Aug 09 11:57:06 ICT 2023","Wed Aug 09 11:57:12 ICT 2023","6903","ShowSlinger","Sign up/Login","NopCommerce.Class_003_Forgot_Password","NopCommerce.Class_003_Forgot_Password","ForgotPassword_001_FormForgotPassword","ForgotPassword_001_FormForgotPassword","Open Form Forgot Password"
"passed","Wed Aug 09 11:57:34 ICT 2023","Wed Aug 09 11:57:42 ICT 2023","8164","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_001_FormLogin","Login_001_FormLogin","Open form Log In"
"passed","Wed Aug 09 11:57:49 ICT 2023","Wed Aug 09 11:57:51 ICT 2023","2176","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_006_AccRegisteredInvalidPassword","Login_006_AccRegisteredInvalidPassword","Log In Account - Invalid Password"
"passed","Wed Aug 09 11:57:44 ICT 2023","Wed Aug 09 11:57:45 ICT 2023","1648","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_003_InvalidEmail","Login_003_InvalidEmail","Log In Account - Invalid Email"
"passed","Wed Aug 09 11:57:42 ICT 2023","Wed Aug 09 11:57:44 ICT 2023","1428","ShowSlinger","Sign up/Login","NopCommerce.Class_004_Login_Account","NopCommerce.Class_004_Login_Account","Login_002_EmptyData","Login_002_EmptyData","Log In Account - Empty Data"
