"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 15:07:33 ICT 2023","Tue Aug 01 15:07:35 ICT 2023","1984","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_006_AccRegisteredInvalidPassword","Login_006_AccRegisteredInvalidPassword","Log In Account - Invalid Password"
"passed","Tue Aug 01 15:07:35 ICT 2023","Tue Aug 01 15:07:50 ICT 2023","14621","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_007_AccManagerCompleted","Login_007_AccManagerCompleted","Log In Account - Login Account Manager Success"
"passed","Tue Aug 01 15:07:30 ICT 2023","Tue Aug 01 15:07:32 ICT 2023","1837","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_004_AccNotFound","Login_004_AccNotFound","Log In Account - Account Not Found"
"passed","Tue Aug 01 15:07:05 ICT 2023","Tue Aug 01 15:07:26 ICT 2023","20466","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_001_FormLogin","Login_001_FormLogin","Open form Log In"
"passed","Tue Aug 01 15:08:24 ICT 2023","Tue Aug 01 15:08:32 ICT 2023","8005","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_009_AccStaffAutoCompleted","Login_009_AccStaffAutoCompleted","Log In Account - Login Account Staff Auto Success"
"passed","Tue Aug 01 15:07:50 ICT 2023","Tue Aug 01 15:08:24 ICT 2023","33938","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_008_AccStaffManualCompleted","Login_008_AccStaffManualCompleted","Log In Account - Login Account Staff Manual Success"
"passed","Tue Aug 01 15:08:32 ICT 2023","Tue Aug 01 15:08:40 ICT 2023","7708","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_010_AccConcessionsCompleted","Login_010_AccConcessionsCompleted","Log In Account - Login Account Concession Success"
"passed","Tue Aug 01 15:07:26 ICT 2023","Tue Aug 01 15:07:27 ICT 2023","1337","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_002_EmptyData","Login_002_EmptyData","Log In Account - Empty Data"
"passed","Tue Aug 01 15:07:32 ICT 2023","Tue Aug 01 15:07:33 ICT 2023","1679","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_005_AccRegisteredEmptyPassword","Login_005_AccRegisteredEmptyPassword","Log In Account - Empty Password"
"passed","Tue Aug 01 15:07:27 ICT 2023","Tue Aug 01 15:07:30 ICT 2023","2558","ShowSlinger","Sign up/Login","showslinger_user.Login_Account","showslinger_user.Login_Account","Login_003_InvalidEmail","Login_003_InvalidEmail","Log In Account - Invalid Email"
